,,,Matemática e física,"Lógica, algoritmos, teoria da comp,  estruras de dados.",Linguagens e paradigmas.,PAA,Configurar plataformas para softwares e serviços.,Arquiteturas de computadores,Segurança de sis. de comp.,Engenharia de software,Inteligência artificial,Desenvolvimento Web e Mobile,Sistemas microprocessados,Redes de computadores,Software para sistemas de comunicação,Conhecimento em sistemas de automação ,Gerenciar projetos e sistemas de computação,Engenharia-econômica,Compreender e resolver problemas,Autoaprendizado,Criatividade e Inovação,Comunicação oral e escrita,Língua inglesa,Empreender e exercer liderança,Trabalho em equipe,
,ECOI26,COMPILADORES,,4,1,,,,,,,,,,,,,,,1,1,1,1,,1,0
,EPRI30,PESQUISA OPERACIONAL,,1,,,,,,,,,,,,,,,,2,,3,1,,3,0
9o,EAMI30,CIÊNCIAS DO AMBIENTE,,,,,,,,,,,,,,,,,1,2,,3,1,,3,0
,ECOI20,GESTÃO DE PROJETOS,,,,,,,,,,,,,,,2,2,1,2,,1,,1,1,0
,ECOI22,INTELIGÊNCIA ARTIFICIAL,,1,1,1,,,,,3,,,,,,,,,1,,1,1,,1,0
,ECOI23,SISTEMAS PARALELOS E DISTRIBUIDOS,,3,2,1,,,,,,,,,,,,,,2,,1,,,1,0
,ECOI25,INTERFACE HOMEM-COMPUTADOR,,2,1,,,,,,,,,,,,,,,,3,,2,,2,0
,EPRI02,ADMINISTRAÇÃO,,,,,,,,,,,,,,,,,,,1,5,,,4,0
,EPRI04,INTRODUÇÃO À ECONOMIA,,,,,,,,,,,,,,,,,,,1,2,2,2,3,0
,HUMI04,CIDADANIA E RESPONSABILIDADE SOCIAL,,,,,,,,,,,,,,,,,,1,0,4,,2,3,0
,,,200,44,19,5,9,14,0,6,3,0,4,5,8,5,4,2,75,110,11,79,43,8,76,
,,,,,,,100,,,,,,,13,,,202,,,,,,206,,,
