,,,Matemática e física,"Lógica, algoritmos, teoria da comp,  estruras de dados.",Linguagens e paradigmas.,PAA,Configurar plataformas para softwares e serviços.,Arquiteturas de computadores,Segurança de sis. de comp.,Engenharia de software,Inteligência artificial,Desenvolvimento Web e Mobile,Sistemas microprocessados,Redes de computadores,Software para sistemas de comunicação,Conhecimento em sistemas de automação ,Gerenciar projetos e sistemas de computação,Engenharia-econômica,Compreender e resolver problemas,Autoaprendizado,Criatividade e Inovação,Comunicação oral e escrita,Língua inglesa,Empreender e exercer liderança,Trabalho em equipe,
,EELI12,ELETRÔNICA BÁSICA II,,,,,,,,,,,,,,,,,,,,,,,,10
,EELI13,LABORATÓRIO DE ELETRÔNICA BÁSICA II,,,,,,,,,,,,,,,,,,,,,,,,10
,EELI14,ELETRÔNICA DIGITAL,,,,,,,,,,,,,,,,,,,,,,,,10
,EELI15,LABORATÓRIO DE ELETRÔNICA DIGITAL,,,,,,,,,,,,,,,,,,,,,,,,10
7o,ECAI04,INTRODUÇÃO AOS SISTEMAS DE CONTROLE,,,,,,,,,,,,,,,,,,,,,,,,10
,ECAI11,MICROCONTROLADORES,,,,,,,,,,,,,,,,,,,,,,,,10
,ECAI13,LABORATÓRIO DE PROCESSAMENTO DIGITAL DE SINAIS,,,,,,,,,,,,,,,,,,,,,,,,10
,ECAI44,PROCESSAMENTO DIGITAL DE SINAIS,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI13,TEORIA DA COMPUTAÇÃO,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI18,PRINCÍPIOS DE COMUNICAÇÃO,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI19,LABORATÓRIOS DE PRINCÍPIOS DE COMUNICAÇÃO,,,,,,,,,,,,,,,,,,,,,,,,10
,ECOI33,CIRCUITOS INTEGRADOS DIGITAIS,,,,,,,,,,,,,,,,,,,,,,,,10
8o,ECAI05,LABORATÓRIO DE SISTEMAS DE CONTROLE I,,,,,,,,,,,,,,,,,,,,,,,,10
,ECAI07,AUTOMAÇÃO DE SISTEMAS INDUSTRIAIS,,,,,,,,,,,,,,,,,,,,,,,,10
